0:2:21,-0.75,-0.56,0.37
0:2:21,-0.78,-0.63,0.38
0:2:21,-0.69,-0.72,0.22
0:2:21,-0.67,-0.75,0.18
0:2:21,-0.65,-0.76,0.18
0:2:21,-0.67,-0.76,0.18
0:2:21,-0.62,-0.78,0.16
0:2:21,-0.66,-0.76,0.15
0:2:22,-0.63,-0.78,0.16
0:2:22,-0.64,-0.78,0.15
0:2:22,-0.62,-0.77,0.15
0:2:22,-0.64,-0.77,0.14
0:2:22,-0.64,-0.79,0.12
0:2:22,-0.62,-0.80,0.14
0:2:22,-0.62,-0.79,0.14
0:2:22,-0.63,-0.80,0.13
0:2:22,-0.62,-0.80,0.13
0:2:22,-0.63,-0.79,0.13
0:2:23,-0.63,-0.80,0.13
0:2:31,-0.50,-0.88,0.11
0:2:31,-0.51,-0.88,0.09
0:2:31,-0.52,-0.87,0.10
0:2:32,-0.49,-0.88,0.09
0:2:32,-0.52,-0.88,0.08
0:2:32,-0.50,-0.89,0.08
0:2:32,-0.47,-0.89,0.07
0:2:32,-0.56,-0.85,0.07
0:2:32,-0.56,-0.81,0.04
0:2:32,-0.50,-0.89,0.07
0:2:32,-0.53,-0.84,0.08
0:2:32,-0.53,-0.89,0.09
0:2:32,-0.48,-0.91,0.07
0:2:33,-0.42,-0.94,0.06
0:2:33,-0.43,-0.88,-0.08
0:2:33,-0.40,-0.93,-0.02
0:2:33,-0.42,-0.93,0.05
0:2:33,-0.44,-0.92,0.04
0:2:33,-0.44,-0.93,0.04
0:2:33,-0.41,-0.92,-0.01
1:2:40,0.83,-0.61,0.01
1:2:40,0.84,-0.62,0.02
1:2:40,0.82,-0.64,-0.01
1:2:40,0.82,-0.60,0.01
1:2:40,0.82,-0.61,0.01
1:2:40,0.84,-0.59,0.03
1:2:40,0.82,-0.62,0.01
1:2:40,0.85,-0.59,0.02
1:2:40,0.83,-0.61,-0.01
1:2:40,0.85,-0.60,0.02
1:2:41,0.89,-0.68,0.09
1:2:41,0.91,-0.70,-0.08
1:2:41,0.93,-0.54,0.10
1:2:41,0.99,-0.33,0.02
1:2:41,1.14,-0.79,0.10
1:2:41,0.92,-0.41,0.04
1:2:41,0.71,-2.00,0.29
1:2:41,0.61,-1.15,0.11
1:2:41,0.69,-0.79,0.01
1:2:41,0.68,-0.79,0.03
2:39:46,0.08,0.89,-0.38
2:39:46,0.11,0.84,-0.50
2:39:46,0.06,0.83,-0.57
2:39:46,0.02,0.83,-0.50
2:39:46,0.02,0.83,-0.49
2:39:46,0.03,0.85,-0.49
2:39:46,0.05,0.84,-0.47
2:39:46,0.04,0.84,-0.48
2:39:46,0.02,0.83,-0.49
2:39:47,0.04,0.85,-0.49
2:39:47,0.04,0.85,-0.46
2:39:47,0.05,0.86,-0.50
2:39:47,0.02,0.86,-0.47
2:39:47,-0.01,0.83,-0.46
2:39:47,0.02,0.83,-0.48
2:39:47,0.01,0.84,-0.47
2:39:47,-0.01,0.85,-0.47
2:39:47,-0.00,0.85,-0.48
2:39:47,0.01,0.85,-0.48
3:18:47,-0.81,0.50,-0.16
3:18:47,-0.82,0.51,-0.16
3:18:48,-0.82,0.50,-0.15
3:18:48,-0.81,0.50,-0.15
3:18:48,-0.81,0.50,-0.15
3:18:48,-0.82,0.50,-0.15
3:18:48,-0.82,0.50,-0.14
3:18:48,-0.81,0.49,-0.16
3:18:48,-0.82,0.50,-0.16
3:18:48,-0.82,0.50,-0.14
3:18:48,-0.81,0.50,-0.15
3:18:48,-0.82,0.51,-0.15
3:18:49,-0.82,0.49,-0.16
3:18:49,-0.82,0.49,-0.16
3:18:49,-0.82,0.50,-0.16
3:18:49,-0.81,0.50,-0.15
3:18:49,-0.81,0.50,-0.15
